
DATE,CITY,Around Town,Art,Eating & Drinking,Film,Music,Nightlife,Stage,PROVIDED,NEW,EXISTING
2010-07-15,Chicago,4,0,0,0,29,2,3,659,38,1156
2010-07-15,Kuala_lumpur,0,0,0,0,0,0,0,2,0,19
2010-07-15,Lisbon,0,0,0,0,0,0,1,23,1,73
2010-07-15,London,2,0,0,0,0,2,8,1689,12,2786
2010-07-15,Moscow,2,2,0,0,46,14,4,1174,68,2965
2010-07-15,Ny,0,0,0,0,0,0,0,470,0,525
2010-07-15,Saint_petersburg,0,0,0,0,0,0,0,615,0,1514
2010-07-15,Singapore,0,0,0,0,0,0,0,23,0,70
2010-07-15,Sydney,0,0,0,0,0,0,0,5,0,10
2010-07-16,Almaty,0,0,0,0,0,0,0,6,0,42
2010-07-16,Barcelona,2,0,0,0,32,1,0,451,35,1076
2010-07-16,Chicago,3,0,0,1,4,1,0,650,9,1194
2010-07-16,Kuala_lumpur,1,0,0,0,0,0,0,3,1,19
2010-07-16,Lisbon,0,0,0,0,0,0,0,22,0,74
2010-07-16,London,5,1,0,0,0,3,1,1635,10,2798
2010-07-16,Moscow,2,1,0,0,29,10,33,1210,75,3033
2010-07-16,Ny,0,0,0,0,0,0,0,470,0,525
2010-07-16,Saint_petersburg,0,0,0,0,0,0,0,586,0,1514
2010-07-16,Singapore,0,0,0,0,0,0,0,22,0,70
2010-07-16,Sydney,0,0,0,0,0,0,0,5,0,10
